theta (rad),r (-),radial mach,tangential mach,mach number,x,y
0.845776,0.944751,0.937798,-1.059473,1.414902,0.626512,0.707132
0.846070,0.944505,0.937486,-1.059752,1.414904,0.626141,0.707133
0.846365,0.944259,0.937173,-1.060030,1.414905,0.625770,0.707133
0.846659,0.944013,0.936861,-1.060308,1.414907,0.625398,0.707133
0.846954,0.943767,0.936549,-1.060586,1.414909,0.625028,0.707133
0.847248,0.943522,0.936236,-1.060864,1.414910,0.624657,0.707133
0.847543,0.943277,0.935924,-1.061142,1.414912,0.624286,0.707134
0.847837,0.943032,0.935611,-1.061419,1.414913,0.623916,0.707134
0.848132,0.942787,0.935299,-1.061697,1.414915,0.623546,0.707134
0.848426,0.942543,0.934986,-1.061974,1.414916,0.623176,0.707134
0.848721,0.942298,0.934673,-1.062252,1.414918,0.622806,0.707134
0.849015,0.942054,0.934360,-1.062529,1.414919,0.622436,0.707134
0.849310,0.941810,0.934047,-1.062806,1.414921,0.622067,0.707135
0.849604,0.941567,0.933734,-1.063083,1.414923,0.621698,0.707135
0.849899,0.941323,0.933421,-1.063360,1.414924,0.621329,0.707135
0.850194,0.941080,0.933108,-1.063637,1.414926,0.620960,0.707135
0.850488,0.940837,0.932795,-1.063914,1.414927,0.620591,0.707135
0.850783,0.940594,0.932481,-1.064191,1.414929,0.620223,0.707135
0.851077,0.940351,0.932168,-1.064467,1.414930,0.619855,0.707136
0.851372,0.940109,0.931854,-1.064744,1.414932,0.619487,0.707136
0.851666,0.939867,0.931541,-1.065020,1.414933,0.619119,0.707136
0.851961,0.939625,0.931227,-1.065297,1.414935,0.618751,0.707136
0.852255,0.939383,0.930913,-1.065573,1.414936,0.618384,0.707136
0.852550,0.939141,0.930599,-1.065849,1.414938,0.618016,0.707137
0.852844,0.938900,0.930285,-1.066125,1.414939,0.617649,0.707137
0.853139,0.938659,0.929971,-1.066401,1.414941,0.617282,0.707137
0.853433,0.938418,0.929657,-1.066677,1.414942,0.616916,0.707137
0.853728,0.938177,0.929343,-1.066953,1.414944,0.616549,0.707137
0.854022,0.937936,0.929029,-1.067228,1.414945,0.616183,0.707137
0.854317,0.937696,0.928714,-1.067504,1.414947,0.615817,0.707138
0.854611,0.937456,0.928400,-1.067779,1.414948,0.615451,0.707138
0.854906,0.937216,0.928085,-1.068055,1.414950,0.615085,0.707138
0.855200,0.936976,0.927771,-1.068330,1.414951,0.614719,0.707138
0.855495,0.936737,0.927456,-1.068605,1.414953,0.614354,0.707138
0.855789,0.936497,0.927141,-1.068880,1.414954,0.613989,0.707139
0.856084,0.936258,0.926826,-1.069155,1.414956,0.613624,0.707139
0.856379,0.936019,0.926511,-1.069430,1.414957,0.613259,0.707139
0.856673,0.935780,0.926196,-1.069705,1.414958,0.612894,0.707139
0.856968,0.935542,0.925881,-1.069979,1.414960,0.612530,0.707139
0.857262,0.935304,0.925566,-1.070254,1.414961,0.612165,0.707139
0.857557,0.935065,0.925251,-1.070528,1.414963,0.611801,0.707140
0.857851,0.934827,0.924935,-1.070803,1.414964,0.611437,0.707140
0.858146,0.934590,0.924620,-1.071077,1.414966,0.611074,0.707140
0.858440,0.934352,0.924305,-1.071351,1.414967,0.610710,0.707140
0.858735,0.934115,0.923989,-1.071625,1.414969,0.610347,0.707140
0.859029,0.933878,0.923673,-1.071899,1.414970,0.609984,0.707141
0.859324,0.933641,0.923358,-1.072173,1.414971,0.609621,0.707141
0.859618,0.933404,0.923042,-1.072447,1.414973,0.609258,0.707141
0.859913,0.933168,0.922726,-1.072720,1.414974,0.608895,0.707141
0.860207,0.932931,0.922410,-1.072994,1.414976,0.608533,0.707141
0.860502,0.932695,0.922094,-1.073268,1.414977,0.608171,0.707141
0.860796,0.932459,0.921778,-1.073541,1.414979,0.607808,0.707142
0.861091,0.932224,0.921461,-1.073814,1.414980,0.607447,0.707142
0.861385,0.931988,0.921145,-1.074087,1.414981,0.607085,0.707142
0.861680,0.931753,0.920829,-1.074361,1.414983,0.606723,0.707142
0.861974,0.931518,0.920512,-1.074634,1.414984,0.606362,0.707142
0.862269,0.931283,0.920196,-1.074906,1.414986,0.606001,0.707143
0.862564,0.931048,0.919879,-1.075179,1.414987,0.605640,0.707143
0.862858,0.930814,0.919562,-1.075452,1.414988,0.605279,0.707143
0.863153,0.930579,0.919246,-1.075725,1.414990,0.604918,0.707143
0.863447,0.930345,0.918929,-1.075997,1.414991,0.604558,0.707143
0.863742,0.930111,0.918612,-1.076269,1.414992,0.604198,0.707144
0.864036,0.929878,0.918295,-1.076542,1.414994,0.603838,0.707144
0.864331,0.929644,0.917978,-1.076814,1.414995,0.603478,0.707144
0.864625,0.929411,0.917660,-1.077086,1.414997,0.603118,0.707144
0.864920,0.929178,0.917343,-1.077358,1.414998,0.602759,0.707144
